ID,Target
1D_0005,0
1D_000A,0
1D_000D,0
1D_000E,0
1D_0015,0
1D_001C,0
1D_0022,0
1D_0024,0
1D_0026,0
1D_002C,0
1D_002E,0
1D_002F,0
1D_0032,0
1D_0036,0
1D_0039,0
1D_003A,0
1D_003F,0
1D_0041,0
1D_0042,0
1D_0051,0
1D_0053,0
1D_0054,0
1D_0058,0
1D_0060,0
1D_0064,0
1D_0069,0
1D_006B,0
1D_006F,0
1D_0074,0
1D_0079,0
1D_007C,0
1D_007D,0
1D_007F,0
1D_0081,0
1D_0085,0
1D_0086,0
1D_0088,0
1D_0094,0
1D_0096,0
1D_0098,0
1D_009A,0
1D_00A3,0
1D_00A4,0
1D_00A7,0
1D_00AC,0
1D_00AD,0
1D_00AF,0
1D_00B0,0
1D_00B2,0
1D_00B3,0
1D_00B4,0
1D_00B8,0
1D_00BF,0
1D_00C1,0
1D_00C3,0
1D_00C7,0
1D_00CA,0
1D_00D4,0
1D_00DC,0
1D_00DE,0
1D_00DF,0
1D_00E2,0
1D_00E3,0
1D_00E4,0
1D_00E6,0
1D_00E7,0
1D_00F1,0
1D_00F3,0
1D_00F5,0
1D_00F6,0
1D_00FA,0
1D_00FB,0
1D_00FF,0
1D_0101,0
1D_0102,0
1D_0103,0
1D_0106,0
1D_010B,0
1D_010F,0
1D_0111,0
1D_0118,0
1D_0119,0
1D_011B,0
1D_0120,0
1D_0128,0
1D_012C,0
1D_012D,0
1D_012E,0
1D_0135,0
1D_0136,0
1D_0139,0
1D_013C,0
1D_014E,0
1D_014F,0
1D_0151,0
1D_0157,0
1D_0161,0
1D_0162,0
1D_0166,0
1D_0167,0
1D_0168,0
1D_0169,0
1D_016A,0
1D_016B,0
1D_016C,0
1D_017B,0
1D_017D,0
1D_017F,0
1D_0180,0
1D_0186,0
1D_0187,0
1D_0188,0
1D_018E,0
1D_0193,0
1D_0199,0
1D_019A,0
1D_01A1,0
1D_01A5,0
1D_01A9,0
1D_01AA,0
1D_01AF,0
1D_01B0,0
1D_01B2,0
1D_01B3,0
1D_01B5,0
1D_01B6,0
1D_01B8,0
1D_01B9,0
1D_01BB,0
1D_01BC,0
1D_01C2,0
1D_01C5,0
1D_01C9,0
1D_01CA,0
1D_01CC,0
1D_01CE,0
1D_01DB,0
1D_01DE,0
1D_01E1,0
1D_01E4,0
1D_01EA,0
1D_01EE,0
1D_01F0,0
1D_01F2,0
1D_01F3,0
1D_01F6,0
1D_01F7,0
1D_01F8,0
1D_01F9,0
1D_01FD,0
1D_0202,0
1D_0203,0
1D_0208,0
1D_020B,0
1D_020D,0
1D_020F,0
1D_0211,0
1D_0214,0
1D_0215,0
1D_0217,0
1D_0219,0
1D_021B,0
1D_021C,0
1D_021D,0
1D_0221,0
1D_0227,0
1D_022B,0
1D_0234,0
1D_0236,0
1D_0238,0
1D_0239,0
1D_023A,0
1D_023B,0
1D_023C,0
1D_0241,0
1D_0246,0
1D_024A,0
1D_0250,0
1D_0253,0
1D_0256,0
1D_025A,0
1D_025B,0
1D_025C,0
1D_025E,0
1D_0263,0
1D_0264,0
1D_0265,0
1D_0266,0
1D_026C,0
1D_026D,0
